Date,Open,High,Low,Close,Volume,MarketCap
3-Nov-18,6387.24,6400.07,6342.37,6361.26,3658640000.00,110421212888.00
4-Nov-18,6365.47,6388.63,6294.57,6376.13,4390020000.00,110689215104.00
5-Nov-18,6363.62,6480.59,6363.62,6419.66,4174800000.00,111456211022.00
6-Nov-18,6433.38,6463.55,6408.16,6461.01,4700040000.00,112095603776.00
7-Nov-18,6468.50,6552.16,6468.31,6530.14,4941260000.00,113395632955.00
8-Nov-18,6522.27,6536.92,6438.53,6453.72,4665260000.00,112078367037.00
9-Nov-18,6442.60,6456.46,6373.37,6385.62,4346820000.00,110905767441.00
10-Nov-18,6386.13,6437.28,6385.31,6409.22,3705320000.00,111326145314.00
11-Nov-18,6413.63,6423.25,6350.17,6411.27,3939060000.00,111373453740.00
12-Nov-18,6411.76,6434.21,6360.47,6371.27,4295770000.00,110689666528.00
13-Nov-18,6373.19,6395.27,6342.67,6359.49,4503800000.00,110494466204.00
14-Nov-18,6351.24,6371.55,5544.09,5738.35,7398940000.00,99712077259.00
15-Nov-18,5736.15,5774.82,5358.38,5648.03,7032140000.00,98151606541.00
16-Nov-18,5645.32,5657.02,5498.94,5575.55,5279320000.00,96900828780.00
17-Nov-18,5578.58,5578.58,5519.56,5554.33,4303150000.00,96542098114.00
18-Nov-18,5559.74,5653.61,5559.74,5623.54,4159680000.00,97753714643.00
19-Nov-18,5620.78,5620.78,4842.91,4871.49,7039560000.00,84688539692.00
20-Nov-18,4863.93,4951.61,4272.11,4451.87,8428290000.00,77401044320.00
21-Nov-18,4465.54,4675.73,4343.98,4602.17,6120120000.00,80020171047.00
22-Nov-18,4611.57,4629.64,4365.64,4365.94,4569370000.00,75919439809.00
23-Nov-18,4360.70,4396.42,4195.68,4347.11,4871490000.00,75598851166.00
24-Nov-18,4347.69,4413.09,3795.16,3880.76,4679500000.00,67495633205.00
25-Nov-18,3880.78,4120.87,3585.06,4009.97,6825640000.00,69749265801.00
26-Nov-18,4015.07,4107.14,3643.92,3779.13,6476900000.00,65739289046.00
27-Nov-18,3765.95,3862.96,3661.01,3820.72,5998720000.00,66468970322.00
28-Nov-18,3822.47,4385.90,3822.47,4257.42,7280280000.00,74072560088.00
